year,petroleum_value,state,series_key,units
1976,115090,NY,SEDS.DFTCP.NY.A,Thousand barrels
1975,105118,NY,SEDS.DFTCP.NY.A,Thousand barrels
1974,109483,NY,SEDS.DFTCP.NY.A,Thousand barrels
1973,121012,NY,SEDS.DFTCP.NY.A,Thousand barrels
1972,119408,NY,SEDS.DFTCP.NY.A,Thousand barrels
1971,113875,NY,SEDS.DFTCP.NY.A,Thousand barrels
1970,111107,NY,SEDS.DFTCP.NY.A,Thousand barrels
1969,110015,NY,SEDS.DFTCP.NY.A,Thousand barrels
1968,108208,NY,SEDS.DFTCP.NY.A,Thousand barrels
1967,106672,NY,SEDS.DFTCP.NY.A,Thousand barrels
1966,102293,NY,SEDS.DFTCP.NY.A,Thousand barrels
1965,104033,NY,SEDS.DFTCP.NY.A,Thousand barrels
1964,95721,NY,SEDS.DFTCP.NY.A,Thousand barrels
1963,96452,NY,SEDS.DFTCP.NY.A,Thousand barrels
1962,95580,NY,SEDS.DFTCP.NY.A,Thousand barrels
1961,87041,NY,SEDS.DFTCP.NY.A,Thousand barrels
1960,82380,NY,SEDS.DFTCP.NY.A,Thousand barrels
2024,10228,NY,SEDS.HLTCP.NY.A,Thousand barrels
2023,9544,NY,SEDS.HLTCP.NY.A,Thousand barrels
2022,10188,NY,SEDS.HLTCP.NY.A,Thousand barrels
2021,10401,NY,SEDS.HLTCP.NY.A,Thousand barrels
2020,9931,NY,SEDS.HLTCP.NY.A,Thousand barrels
2019,10276,NY,SEDS.HLTCP.NY.A,Thousand barrels
2018,9953,NY,SEDS.HLTCP.NY.A,Thousand barrels
2017,8459,NY,SEDS.HLTCP.NY.A,Thousand barrels
2016,8516,NY,SEDS.HLTCP.NY.A,Thousand barrels
2015,8609,NY,SEDS.HLTCP.NY.A,Thousand barrels
2014,9230,NY,SEDS.HLTCP.NY.A,Thousand barrels
2013,7657,NY,SEDS.HLTCP.NY.A,Thousand barrels
2012,6869,NY,SEDS.HLTCP.NY.A,Thousand barrels
2011,7689,NY,SEDS.HLTCP.NY.A,Thousand barrels
2010,8138,NY,SEDS.HLTCP.NY.A,Thousand barrels
2009,8344,NY,SEDS.HLTCP.NY.A,Thousand barrels
2008,8536,NY,SEDS.HLTCP.NY.A,Thousand barrels
2007,7345,NY,SEDS.HLTCP.NY.A,Thousand barrels
2006,7152,NY,SEDS.HLTCP.NY.A,Thousand barrels
2005,8261,NY,SEDS.HLTCP.NY.A,Thousand barrels
2004,8639,NY,SEDS.HLTCP.NY.A,Thousand barrels
2003,7771,NY,SEDS.HLTCP.NY.A,Thousand barrels
2002,7613,NY,SEDS.HLTCP.NY.A,Thousand barrels
2001,7111,NY,SEDS.HLTCP.NY.A,Thousand barrels
2000,9850,NY,SEDS.HLTCP.NY.A,Thousand barrels
1999,7316,NY,SEDS.HLTCP.NY.A,Thousand barrels
1998,7306,NY,SEDS.HLTCP.NY.A,Thousand barrels
1997,6686,NY,SEDS.HLTCP.NY.A,Thousand barrels
1996,7073,NY,SEDS.HLTCP.NY.A,Thousand barrels
1995,6332,NY,SEDS.HLTCP.NY.A,Thousand barrels
1994,6351,NY,SEDS.HLTCP.NY.A,Thousand barrels
1993,6139,NY,SEDS.HLTCP.NY.A,Thousand barrels
1992,7076,NY,SEDS.HLTCP.NY.A,Thousand barrels
1991,7206,NY,SEDS.HLTCP.NY.A,Thousand barrels
1990,5606,NY,SEDS.HLTCP.NY.A,Thousand barrels
1989,5579,NY,SEDS.HLTCP.NY.A,Thousand barrels
1988,5238,NY,SEDS.HLTCP.NY.A,Thousand barrels
1987,5474,NY,SEDS.HLTCP.NY.A,Thousand barrels
1986,4878,NY,SEDS.HLTCP.NY.A,Thousand barrels
1985,4923,NY,SEDS.HLTCP.NY.A,Thousand barrels
1984,5056,NY,SEDS.HLTCP.NY.A,Thousand barrels
1983,4905,NY,SEDS.HLTCP.NY.A,Thousand barrels
1982,4878,NY,SEDS.HLTCP.NY.A,Thousand barrels
1981,5215,NY,SEDS.HLTCP.NY.A,Thousand barrels
1980,5631,NY,SEDS.HLTCP.NY.A,Thousand barrels
1979,5663,NY,SEDS.HLTCP.NY.A,Thousand barrels
1978,5928,NY,SEDS.HLTCP.NY.A,Thousand barrels
1977,5865,NY,SEDS.HLTCP.NY.A,Thousand barrels
1976,5580,NY,SEDS.HLTCP.NY.A,Thousand barrels
1975,5188,NY,SEDS.HLTCP.NY.A,Thousand barrels
1974,4753,NY,SEDS.HLTCP.NY.A,Thousand barrels
1973,5179,NY,SEDS.HLTCP.NY.A,Thousand barrels
1972,5303,NY,SEDS.HLTCP.NY.A,Thousand barrels
1971,4757,NY,SEDS.HLTCP.NY.A,Thousand barrels
1970,4506,NY,SEDS.HLTCP.NY.A,Thousand barrels
1969,4415,NY,SEDS.HLTCP.NY.A,Thousand barrels
1968,3697,NY,SEDS.HLTCP.NY.A,Thousand barrels
1967,3253,NY,SEDS.HLTCP.NY.A,Thousand barrels
1966,3302,NY,SEDS.HLTCP.NY.A,Thousand barrels
1965,3174,NY,SEDS.HLTCP.NY.A,Thousand barrels
1964,3764,NY,SEDS.HLTCP.NY.A,Thousand barrels
1963,3271,NY,SEDS.HLTCP.NY.A,Thousand barrels
1962,2948,NY,SEDS.HLTCP.NY.A,Thousand barrels
1961,2817,NY,SEDS.HLTCP.NY.A,Thousand barrels
1960,2849,NY,SEDS.HLTCP.NY.A,Thousand barrels
2024,47999,NY,SEDS.JFTCP.NY.A,Thousand barrels
2023,47378,NY,SEDS.JFTCP.NY.A,Thousand barrels
2022,42345,NY,SEDS.JFTCP.NY.A,Thousand barrels
2021,30773,NY,SEDS.JFTCP.NY.A,Thousand barrels
2020,23537,NY,SEDS.JFTCP.NY.A,Thousand barrels
2019,50782,NY,SEDS.JFTCP.NY.A,Thousand barrels
2018,50226,NY,SEDS.JFTCP.NY.A,Thousand barrels
2017,51731,NY,SEDS.JFTCP.NY.A,Thousand barrels
2016,49885,NY,SEDS.JFTCP.NY.A,Thousand barrels
2015,47134,NY,SEDS.JFTCP.NY.A,Thousand barrels
2014,44854,NY,SEDS.JFTCP.NY.A,Thousand barrels
2013,43785,NY,SEDS.JFTCP.NY.A,Thousand barrels
2012,41237,NY,SEDS.JFTCP.NY.A,Thousand barrels
2011,40937,NY,SEDS.JFTCP.NY.A,Thousand barrels
2010,40685,NY,SEDS.JFTCP.NY.A,Thousand barrels
2009,16760,NY,SEDS.JFTCP.NY.A,Thousand barrels
2008,21658,NY,SEDS.JFTCP.NY.A,Thousand barrels
2007,19977,NY,SEDS.JFTCP.NY.A,Thousand barrels
2006,20341,NY,SEDS.JFTCP.NY.A,Thousand barrels
2005,20016,NY,SEDS.JFTCP.NY.A,Thousand barrels
2004,19300,NY,SEDS.JFTCP.NY.A,Thousand barrels
2003,17268,NY,SEDS.JFTCP.NY.A,Thousand barrels
2002,15428,NY,SEDS.JFTCP.NY.A,Thousand barrels
2001,14655,NY,SEDS.JFTCP.NY.A,Thousand barrels
2000,9516,NY,SEDS.JFTCP.NY.A,Thousand barrels
1999,9122,NY,SEDS.JFTCP.NY.A,Thousand barrels
1998,14800,NY,SEDS.JFTCP.NY.A,Thousand barrels
1997,12138,NY,SEDS.JFTCP.NY.A,Thousand barrels
1996,11532,NY,SEDS.JFTCP.NY.A,Thousand barrels
1995,7697,NY,SEDS.JFTCP.NY.A,Thousand barrels
1994,5729,NY,SEDS.JFTCP.NY.A,Thousand barrels
1993,5131,NY,SEDS.JFTCP.NY.A,Thousand barrels
1992,5357,NY,SEDS.JFTCP.NY.A,Thousand barrels
1991,5300,NY,SEDS.JFTCP.NY.A,Thousand barrels
1990,5447,NY,SEDS.JFTCP.NY.A,Thousand barrels
1989,6047,NY,SEDS.JFTCP.NY.A,Thousand barrels
1988,4915,NY,SEDS.JFTCP.NY.A,Thousand barrels
1987,2904,NY,SEDS.JFTCP.NY.A,Thousand barrels
1986,3738,NY,SEDS.JFTCP.NY.A,Thousand barrels
1985,3856,NY,SEDS.JFTCP.NY.A,Thousand barrels
1984,3887,NY,SEDS.JFTCP.NY.A,Thousand barrels
1983,3790,NY,SEDS.JFTCP.NY.A,Thousand barrels
1982,4827,NY,SEDS.JFTCP.NY.A,Thousand barrels
1981,25383,NY,SEDS.JFTCP.NY.A,Thousand barrels
1980,35936,NY,SEDS.JFTCP.NY.A,Thousand barrels
1979,35746,NY,SEDS.JFTCP.NY.A,Thousand barrels
1978,38907,NY,SEDS.JFTCP.NY.A,Thousand barrels
1977,39197,NY,SEDS.JFTCP.NY.A,Thousand barrels
1976,38574,NY,SEDS.JFTCP.NY.A,Thousand barrels
1975,38634,NY,SEDS.JFTCP.NY.A,Thousand barrels
1974,38230,NY,SEDS.JFTCP.NY.A,Thousand barrels
1973,43403,NY,SEDS.JFTCP.NY.A,Thousand barrels
1972,43509,NY,SEDS.JFTCP.NY.A,Thousand barrels
1971,39280,NY,SEDS.JFTCP.NY.A,Thousand barrels
1970,38338,NY,SEDS.JFTCP.NY.A,Thousand barrels
1969,38562,NY,SEDS.JFTCP.NY.A,Thousand barrels
1968,34763,NY,SEDS.JFTCP.NY.A,Thousand barrels
1967,32171,NY,SEDS.JFTCP.NY.A,Thousand barrels
1966,26017,NY,SEDS.JFTCP.NY.A,Thousand barrels
1965,23620,NY,SEDS.JFTCP.NY.A,Thousand barrels
1964,18771,NY,SEDS.JFTCP.NY.A,Thousand barrels
1963,17498,NY,SEDS.JFTCP.NY.A,Thousand barrels
1962,16489,NY,SEDS.JFTCP.NY.A,Thousand barrels
1961,12164,NY,SEDS.JFTCP.NY.A,Thousand barrels
1960,9411,NY,SEDS.JFTCP.NY.A,Thousand barrels
2024,124969,NY,SEDS.MGTCP.NY.A,Thousand barrels
2023,124770,NY,SEDS.MGTCP.NY.A,Thousand barrels
2022,121972,NY,SEDS.MGTCP.NY.A,Thousand barrels
2021,124180,NY,SEDS.MGTCP.NY.A,Thousand barrels
2020,112676,NY,SEDS.MGTCP.NY.A,Thousand barrels
2019,135872,NY,SEDS.MGTCP.NY.A,Thousand barrels
2018,137758,NY,SEDS.MGTCP.NY.A,Thousand barrels
2017,136414,NY,SEDS.MGTCP.NY.A,Thousand barrels
2016,134799,NY,SEDS.MGTCP.NY.A,Thousand barrels
2015,129909,NY,SEDS.MGTCP.NY.A,Thousand barrels
2014,131943,NY,SEDS.MGTCP.NY.A,Thousand barrels
2013,127461,NY,SEDS.MGTCP.NY.A,Thousand barrels
2012,127902,NY,SEDS.MGTCP.NY.A,Thousand barrels
2011,130718,NY,SEDS.MGTCP.NY.A,Thousand barrels
2010,138087,NY,SEDS.MGTCP.NY.A,Thousand barrels
2009,135921,NY,SEDS.MGTCP.NY.A,Thousand barrels
2008,136105,NY,SEDS.MGTCP.NY.A,Thousand barrels
2007,139140,NY,SEDS.MGTCP.NY.A,Thousand barrels
2006,140020,NY,SEDS.MGTCP.NY.A,Thousand barrels
2005,137355,NY,SEDS.MGTCP.NY.A,Thousand barrels
2004,137391,NY,SEDS.MGTCP.NY.A,Thousand barrels
2003,138010,NY,SEDS.MGTCP.NY.A,Thousand barrels
2002,136664,NY,SEDS.MGTCP.NY.A,Thousand barrels
2001,133724,NY,SEDS.MGTCP.NY.A,Thousand barrels
2000,132831,NY,SEDS.MGTCP.NY.A,Thousand barrels
1999,133621,NY,SEDS.MGTCP.NY.A,Thousand barrels
1998,131469,NY,SEDS.MGTCP.NY.A,Thousand barrels
1997,130923,NY,SEDS.MGTCP.NY.A,Thousand barrels
1996,130979,NY,SEDS.MGTCP.NY.A,Thousand barrels
1995,132627,NY,SEDS.MGTCP.NY.A,Thousand barrels
1994,128228,NY,SEDS.MGTCP.NY.A,Thousand barrels
1993,131710,NY,SEDS.MGTCP.NY.A,Thousand barrels
1992,129064,NY,SEDS.MGTCP.NY.A,Thousand barrels
1991,133311,NY,SEDS.MGTCP.NY.A,Thousand barrels
1990,139180,NY,SEDS.MGTCP.NY.A,Thousand barrels
1989,133483,NY,SEDS.MGTCP.NY.A,Thousand barrels
1988,130449,NY,SEDS.MGTCP.NY.A,Thousand barrels
1987,142918,NY,SEDS.MGTCP.NY.A,Thousand barrels
1986,136798,NY,SEDS.MGTCP.NY.A,Thousand barrels
1985,136330,NY,SEDS.MGTCP.NY.A,Thousand barrels
1984,113249,NY,SEDS.MGTCP.NY.A,Thousand barrels
1983,127144,NY,SEDS.MGTCP.NY.A,Thousand barrels
1982,129867,NY,SEDS.MGTCP.NY.A,Thousand barrels
1981,129730,NY,SEDS.MGTCP.NY.A,Thousand barrels
1980,127422,NY,SEDS.MGTCP.NY.A,Thousand barrels
1979,137083,NY,SEDS.MGTCP.NY.A,Thousand barrels
1978,144925,NY,SEDS.MGTCP.NY.A,Thousand barrels
1977,141083,NY,SEDS.MGTCP.NY.A,Thousand barrels
1976,143459,NY,SEDS.MGTCP.NY.A,Thousand barrels
1975,133461,NY,SEDS.MGTCP.NY.A,Thousand barrels
1974,134343,NY,SEDS.MGTCP.NY.A,Thousand barrels
1973,145099,NY,SEDS.MGTCP.NY.A,Thousand barrels
1972,140964,NY,SEDS.MGTCP.NY.A,Thousand barrels
1971,136999,NY,SEDS.MGTCP.NY.A,Thousand barrels
1970,130737,NY,SEDS.MGTCP.NY.A,Thousand barrels
1969,128808,NY,SEDS.MGTCP.NY.A,Thousand barrels
1968,119748,NY,SEDS.MGTCP.NY.A,Thousand barrels
1967,115616,NY,SEDS.MGTCP.NY.A,Thousand barrels
1966,113612,NY,SEDS.MGTCP.NY.A,Thousand barrels
1965,109226,NY,SEDS.MGTCP.NY.A,Thousand barrels
1964,105763,NY,SEDS.MGTCP.NY.A,Thousand barrels
1963,103411,NY,SEDS.MGTCP.NY.A,Thousand barrels
1962,100832,NY,SEDS.MGTCP.NY.A,Thousand barrels
1961,97078,NY,SEDS.MGTCP.NY.A,Thousand barrels
1960,95706,NY,SEDS.MGTCP.NY.A,Thousand barrels
2024,3530,NY,SEDS.RFTCP.NY.A,Thousand barrels
2023,3442,NY,SEDS.RFTCP.NY.A,Thousand barrels
2022,5247,NY,SEDS.RFTCP.NY.A,Thousand barrels
2021,4371,NY,SEDS.RFTCP.NY.A,Thousand barrels
2020,2416,NY,SEDS.RFTCP.NY.A,Thousand barrels
2019,2269,NY,SEDS.RFTCP.NY.A,Thousand barrels
2018,5474,NY,SEDS.RFTCP.NY.A,Thousand barrels
2017,5202,NY,SEDS.RFTCP.NY.A,Thousand barrels
2016,6358,NY,SEDS.RFTCP.NY.A,Thousand barrels
2015,7582,NY,SEDS.RFTCP.NY.A,Thousand barrels
2014,11396,NY,SEDS.RFTCP.NY.A,Thousand barrels
2013,11032,NY,SEDS.RFTCP.NY.A,Thousand barrels
2012,10262,NY,SEDS.RFTCP.NY.A,Thousand barrels
2011,14517,NY,SEDS.RFTCP.NY.A,Thousand barrels
2010,22234,NY,SEDS.RFTCP.NY.A,Thousand barrels
2009,24060,NY,SEDS.RFTCP.NY.A,Thousand barrels
2008,24204,NY,SEDS.RFTCP.NY.A,Thousand barrels
2007,28975,NY,SEDS.RFTCP.NY.A,Thousand barrels
2006,25526,NY,SEDS.RFTCP.NY.A,Thousand barrels
2005,52150,NY,SEDS.RFTCP.NY.A,Thousand barrels
2004,51469,NY,SEDS.RFTCP.NY.A,Thousand barrels
2003,46578,NY,SEDS.RFTCP.NY.A,Thousand barrels
2002,31110,NY,SEDS.RFTCP.NY.A,Thousand barrels
2001,37090,NY,SEDS.RFTCP.NY.A,Thousand barrels
2000,42349,NY,SEDS.RFTCP.NY.A,Thousand barrels
1999,35353,NY,SEDS.RFTCP.NY.A,Thousand barrels
1998,35732,NY,SEDS.RFTCP.NY.A,Thousand barrels
1997,29992,NY,SEDS.RFTCP.NY.A,Thousand barrels
1996,36628,NY,SEDS.RFTCP.NY.A,Thousand barrels
1995,30126,NY,SEDS.RFTCP.NY.A,Thousand barrels
1994,40125,NY,SEDS.RFTCP.NY.A,Thousand barrels
1993,47822,NY,SEDS.RFTCP.NY.A,Thousand barrels
1992,51308,NY,SEDS.RFTCP.NY.A,Thousand barrels
1991,67751,NY,SEDS.RFTCP.NY.A,Thousand barrels
1990,77242,NY,SEDS.RFTCP.NY.A,Thousand barrels
1989,85316,NY,SEDS.RFTCP.NY.A,Thousand barrels
1988,88972,NY,SEDS.RFTCP.NY.A,Thousand barrels
1987,77490,NY,SEDS.RFTCP.NY.A,Thousand barrels
1986,79619,NY,SEDS.RFTCP.NY.A,Thousand barrels
1985,66334,NY,SEDS.RFTCP.NY.A,Thousand barrels
1984,73011,NY,SEDS.RFTCP.NY.A,Thousand barrels
1983,76067,NY,SEDS.RFTCP.NY.A,Thousand barrels
1982,95706,NY,SEDS.RFTCP.NY.A,Thousand barrels
1981,95745,NY,SEDS.RFTCP.NY.A,Thousand barrels
1980,115488,NY,SEDS.RFTCP.NY.A,Thousand barrels
1979,127846,NY,SEDS.RFTCP.NY.A,Thousand barrels
1978,150720,NY,SEDS.RFTCP.NY.A,Thousand barrels
1977,156520,NY,SEDS.RFTCP.NY.A,Thousand barrels
1976,152639,NY,SEDS.RFTCP.NY.A,Thousand barrels
1975,144721,NY,SEDS.RFTCP.NY.A,Thousand barrels
1974,152776,NY,SEDS.RFTCP.NY.A,Thousand barrels
1973,169105,NY,SEDS.RFTCP.NY.A,Thousand barrels
1972,161435,NY,SEDS.RFTCP.NY.A,Thousand barrels
1971,158357,NY,SEDS.RFTCP.NY.A,Thousand barrels
1970,152252,NY,SEDS.RFTCP.NY.A,Thousand barrels
1969,136383,NY,SEDS.RFTCP.NY.A,Thousand barrels
1968,132204,NY,SEDS.RFTCP.NY.A,Thousand barrels
1967,130202,NY,SEDS.RFTCP.NY.A,Thousand barrels
1966,118446,NY,SEDS.RFTCP.NY.A,Thousand barrels
1965,104296,NY,SEDS.RFTCP.NY.A,Thousand barrels
1964,83465,NY,SEDS.RFTCP.NY.A,Thousand barrels
1963,88045,NY,SEDS.RFTCP.NY.A,Thousand barrels
1962,88898,NY,SEDS.RFTCP.NY.A,Thousand barrels
1961,84031,NY,SEDS.RFTCP.NY.A,Thousand barrels
1960,77563,NY,SEDS.RFTCP.NY.A,Thousand barrels
2024,10903,NY,SEDS.P1TCP.NY.A,Thousand barrels
2023,11831,NY,SEDS.P1TCP.NY.A,Thousand barrels
2022,10229,NY,SEDS.P1TCP.NY.A,Thousand barrels
2021,11150,NY,SEDS.P1TCP.NY.A,Thousand barrels
2020,9521,NY,SEDS.P1TCP.NY.A,Thousand barrels
2019,9997,NY,SEDS.P1TCP.NY.A,Thousand barrels
2018,10054,NY,SEDS.P1TCP.NY.A,Thousand barrels
2017,10275,NY,SEDS.P1TCP.NY.A,Thousand barrels
2016,11628,NY,SEDS.P1TCP.NY.A,Thousand barrels
2015,10806,NY,SEDS.P1TCP.NY.A,Thousand barrels
2014,10433,NY,SEDS.P1TCP.NY.A,Thousand barrels
2013,10113,NY,SEDS.P1TCP.NY.A,Thousand barrels
2012,10549,NY,SEDS.P1TCP.NY.A,Thousand barrels
2011,11643,NY,SEDS.P1TCP.NY.A,Thousand barrels
2010,13054,NY,SEDS.P1TCP.NY.A,Thousand barrels
2009,14423,NY,SEDS.P1TCP.NY.A,Thousand barrels
2008,14618,NY,SEDS.P1TCP.NY.A,Thousand barrels
2007,15583,NY,SEDS.P1TCP.NY.A,Thousand barrels
2006,17960,NY,SEDS.P1TCP.NY.A,Thousand barrels
2005,20911,NY,SEDS.P1TCP.NY.A,Thousand barrels
2004,18701,NY,SEDS.P1TCP.NY.A,Thousand barrels
2003,14955,NY,SEDS.P1TCP.NY.A,Thousand barrels
2002,14979,NY,SEDS.P1TCP.NY.A,Thousand barrels
2001,17194,NY,SEDS.P1TCP.NY.A,Thousand barrels
2000,15988,NY,SEDS.P1TCP.NY.A,Thousand barrels
1999,17643,NY,SEDS.P1TCP.NY.A,Thousand barrels
1998,17011,NY,SEDS.P1TCP.NY.A,Thousand barrels
1997,14114,NY,SEDS.P1TCP.NY.A,Thousand barrels
1996,14348,NY,SEDS.P1TCP.NY.A,Thousand barrels
1995,14018,NY,SEDS.P1TCP.NY.A,Thousand barrels
1994,14525,NY,SEDS.P1TCP.NY.A,Thousand barrels
1993,15257,NY,SEDS.P1TCP.NY.A,Thousand barrels
1992,14882,NY,SEDS.P1TCP.NY.A,Thousand barrels
1991,14270,NY,SEDS.P1TCP.NY.A,Thousand barrels
1990,14173,NY,SEDS.P1TCP.NY.A,Thousand barrels
1989,16132,NY,SEDS.P1TCP.NY.A,Thousand barrels
1988,19938,NY,SEDS.P1TCP.NY.A,Thousand barrels
1987,17270,NY,SEDS.P1TCP.NY.A,Thousand barrels
1986,14462,NY,SEDS.P1TCP.NY.A,Thousand barrels
1985,17784,NY,SEDS.P1TCP.NY.A,Thousand barrels
1984,16696,NY,SEDS.P1TCP.NY.A,Thousand barrels
1983,14783,NY,SEDS.P1TCP.NY.A,Thousand barrels
1982,13894,NY,SEDS.P1TCP.NY.A,Thousand barrels
1981,14633,NY,SEDS.P1TCP.NY.A,Thousand barrels
1980,15469,NY,SEDS.P1TCP.NY.A,Thousand barrels
1979,18282,NY,SEDS.P1TCP.NY.A,Thousand barrels
1978,20815,NY,SEDS.P1TCP.NY.A,Thousand barrels
1977,20193,NY,SEDS.P1TCP.NY.A,Thousand barrels
1976,20575,NY,SEDS.P1TCP.NY.A,Thousand barrels
1975,19053,NY,SEDS.P1TCP.NY.A,Thousand barrels
1974,20586,NY,SEDS.P1TCP.NY.A,Thousand barrels
1973,21696,NY,SEDS.P1TCP.NY.A,Thousand barrels
1972,21761,NY,SEDS.P1TCP.NY.A,Thousand barrels
1971,21132,NY,SEDS.P1TCP.NY.A,Thousand barrels
1970,20395,NY,SEDS.P1TCP.NY.A,Thousand barrels
1969,20188,NY,SEDS.P1TCP.NY.A,Thousand barrels
1968,19407,NY,SEDS.P1TCP.NY.A,Thousand barrels
1967,18906,NY,SEDS.P1TCP.NY.A,Thousand barrels
1966,20739,NY,SEDS.P1TCP.NY.A,Thousand barrels
1965,21674,NY,SEDS.P1TCP.NY.A,Thousand barrels
1964,22262,NY,SEDS.P1TCP.NY.A,Thousand barrels
1963,22567,NY,SEDS.P1TCP.NY.A,Thousand barrels
1962,22931,NY,SEDS.P1TCP.NY.A,Thousand barrels
1961,34708,NY,SEDS.P1TCP.NY.A,Thousand barrels
1960,29628,NY,SEDS.P1TCP.NY.A,Thousand barrels
