state,year,predicted_next_year_price,predicted_next_year_usage,predicted_usage_change_pct_vs_2024,usage_2024
CA,2025,4.523088801854116,113302.42077185298,-6.204275957306072,120797.0
NY,2025,3.521136540864654,10132.78350280194,-7.064262103990282,10903.0
