"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","US","FFACE"," 746.9"," 757.5"," 789.6"," 820"," 844.3"," 874.1"," 921"," 967.2"," 1046.2"," 1091.3"," 1131.7"," 1176.3"," 1246.5"," 1312.1"," 1278.2"," 1288.6"," 1350.5"," 1402.9"," 1460.1"," 1449.9"," 1394.9"," 1381.1"," 1350.3"," 1356.1"," 1388.3"," 1420.1"," 1470.2"," 1517.1"," 1576.7"," 1587.7"," 1583.6"," 1564"," 1587.5"," 1601"," 1640.9"," 1675.9"," 1725.6"," 1745.5"," 1782.4"," 1828.6"," 1884.5"," 1855.8"," 1895.5"," 1912.6"," 1967.5"," 1988.1"," 2019.5"," 2022.2"," 1892.3"," 1827"," 1842.4"," 1808.4"," 1771.7"," 1791.4"," 1809.8"," 1833.7"," 1865.9"," 1884"," 1915.5"," 1921.8"," 1631"," 1806.9"," 1842.5"," 1854.9"
"2023F","US","FFCCE"," 186.4"," 187.6"," 196.3"," 193.7"," 194.5"," 207.7"," 220.9"," 239.4"," 246.2"," 255.6"," 262.5"," 266.9"," 271.5"," 274.1"," 262.2"," 247.9"," 267.6"," 262.9"," 264.9"," 265"," 247.6"," 229.9"," 230.7"," 232.1"," 242.1"," 223.2"," 222.7"," 225.8"," 236.9"," 233.8"," 225.4"," 226.3"," 227.5"," 225.2"," 227.6"," 230.9"," 239.7"," 239.9"," 223.1"," 225.3"," 238.5"," 229.3"," 230.8"," 241.4"," 237.9"," 227"," 207.3"," 216.7"," 225.6"," 223.1"," 220.6"," 221.6"," 200.9"," 222.6"," 233.8"," 239.4"," 231.5"," 233.2"," 253.8"," 254.8"," 232.9"," 244.8"," 260.6"," 245.3"
"2023F","US","FFEIE"," 538.1"," 556.2"," 589.5"," 641.9"," 687"," 735.6"," 809.5"," 840.1"," 926.9"," 995.9"," 1061.4"," 1098.8"," 1195.1"," 1285.8"," 1251.1"," 1244.8"," 1353.5"," 1442.3"," 1449.2"," 1509.6"," 1555.4"," 1564.9"," 1486.8"," 1528.5"," 1594.9"," 1636.5"," 1623"," 1687.5"," 1772"," 1831.8"," 1820.3"," 1817.5"," 1830.8"," 1906.4"," 1930.7"," 1947.8"," 2020.4"," 2087.7"," 2176.7"," 2189.6"," 2296.4"," 2258.7"," 2272.7"," 2303.9"," 2334.8"," 2400.5"," 2344.7"," 2411"," 2359.7"," 2145.7"," 2259.6"," 2158.9"," 2023.9"," 2038.8"," 2037.8"," 1901"," 1809.2"," 1732.3"," 1754.2"," 1607.6"," 1439.8"," 1541.4"," 1532"," 1414.1"
"2023F","US","FFICE"," 1056.3"," 1046.8"," 1076"," 1118.6"," 1184.6"," 1228.1"," 1272"," 1260.3"," 1287.9"," 1315.3"," 1320.5"," 1276.7"," 1318.8"," 1378"," 1318.3"," 1197.6"," 1251.9"," 1269.5"," 1257.4"," 1304"," 1180.2"," 1108.6"," 977.4"," 928.3"," 1021.8"," 975.9"," 950.7"," 985.6"," 1042.3"," 1042.9"," 1061.7"," 1029.1"," 1079.6"," 1070.4"," 1089.2"," 1100.3"," 1133.6"," 1140.3"," 1101"," 1082.2"," 1077.5"," 1052.2"," 1034.8"," 1030.9"," 1068.8"," 1014.3"," 1021.6"," 1007.3"," 974"," 854.5"," 922.9"," 929.1"," 941.4"," 961.1"," 971.5"," 945.6"," 943.6"," 961.5"," 998.4"," 1003"," 949.3"," 972.8"," 955.6"," 954.4"
"2023F","US","FFRCE"," 386.9"," 394.7"," 413.7"," 411.9"," 410.4"," 421.9"," 433.4"," 445.5"," 458.6"," 475.2"," 477.8"," 483.3"," 495"," 474.8"," 450.5"," 450"," 472.6"," 458.5"," 456.3"," 422.9"," 381.5"," 355.3"," 354.1"," 335.4"," 359.6"," 355.1"," 346.8"," 352.4"," 373.7"," 380.4"," 339.4"," 346.3"," 356.1"," 372.5"," 363.8"," 361.1"," 389.9"," 371.5"," 338.5"," 359.4"," 379.5"," 367.1"," 367.8"," 385.8"," 372.3"," 364.7"," 323"," 344"," 357.1"," 338.5"," 335.6"," 325.9"," 286"," 332.3"," 348.8"," 322.3"," 298.5"," 301.5"," 343.8"," 346.5"," 318.9"," 325.3"," 340.5"," 313.3"
"2023F","US","FFTCE"," 2914.6"," 2942.8"," 3065.1"," 3186"," 3320.9"," 3467.3"," 3656.7"," 3752.5"," 3965.8"," 4133.2"," 4253.9"," 4302"," 4526.9"," 4724.8"," 4560.3"," 4428.8"," 4696.1"," 4836.1"," 4887.9"," 4951.3"," 4759.5"," 4639.8"," 4399.3"," 4380.3"," 4606.6"," 4610.8"," 4613.4"," 4768.6"," 5001.5"," 5076.5"," 5030.4"," 4983.3"," 5081.5"," 5175.5"," 5252.2"," 5316"," 5509.1"," 5584.9"," 5621.7"," 5685.1"," 5876.4"," 5763.1"," 5801.6"," 5874.5"," 5981.3"," 5994.7"," 5916.2"," 6001.2"," 5808.7"," 5388.8"," 5581.2"," 5444"," 5223.9"," 5346.2"," 5401.8"," 5242.1"," 5148.7"," 5112.5"," 5265.6"," 5133.7"," 4571.8"," 4891.3"," 4931.1"," 4781.9"
"2023F","US","NNACE"," 19"," 20.7"," 21"," 23.2"," 23.9"," 27.5"," 29.3"," 31.5"," 32.2"," 34.4"," 39.3"," 40.4"," 41.7"," 39.5"," 36.3"," 31.5"," 29.6"," 28.8"," 28.7"," 32.5"," 34.5"," 35"," 32.5"," 26.8"," 28.9"," 27.6"," 26.6"," 28.5"," 33.6"," 34.4"," 36.2"," 32.9"," 32.4"," 34.3"," 37.6"," 38.6"," 39.3"," 41.9"," 35.3"," 35.8"," 35.7"," 34.8"," 37.1"," 33.3"," 32"," 33.1"," 33.2"," 35.3"," 36.8"," 38"," 38.3"," 39.1"," 41.5"," 47.1"," 40.4"," 39.5"," 40.1"," 42.4"," 50.9"," 58.9"," 58.7"," 65"," 72.1"," 71.4"
"2023F","US","NNCCE"," 56"," 59.1"," 66.2"," 69"," 74.9"," 78.6"," 88.5"," 106.8"," 113.2"," 122.8"," 130.1"," 136.2"," 141.8"," 141"," 138.6"," 135.5"," 144"," 135"," 140.1"," 150.3"," 139.5"," 134.6"," 139.8"," 131.2"," 136.1"," 131"," 124.8"," 131.2"," 144.1"," 147"," 141.4"," 147.3"," 151.3"," 154.6"," 156.5"," 164"," 171.1"," 174.2"," 163"," 164.9"," 171.9"," 163.8"," 170.2"," 172.6"," 169.6"," 162.7"," 153.4"," 163.4"," 170.8"," 168.9"," 167.7"," 170.6"," 156.9"," 179.2"," 189.2"," 175.4"," 170.5"," 173.5"," 192.7"," 193.1"," 173.8"," 180.6"," 192.7"," 183"
"2023F","US","NNEIE"," 94.6"," 100.2"," 107.9"," 117.7"," 127.7"," 127.7"," 143.8"," 151.3"," 173"," 191.3"," 214.6"," 216.9"," 216.6"," 198.2"," 186.2"," 171.3"," 167.2"," 174"," 174.6"," 191.1"," 201.4"," 199"," 176.6"," 158.4"," 170.2"," 167.1"," 142.4"," 155.3"," 143.4"," 169"," 176.3"," 179.7"," 186.9"," 188.3"," 211.7"," 229.2"," 205.6"," 219.7"," 248.5"," 260.7"," 281.8"," 291"," 306.9"," 278.7"," 297.4"," 319.7"," 338.7"," 372.3"," 362.9"," 373.5"," 400.6"," 410.4"," 493.8"," 445"," 444"," 525.9"," 545.9"," 506.4"," 578.9"," 617.8"," 635.5"," 613.8"," 660.2"," 705"
"2023F","US","NNICE"," 306.5"," 316.6"," 331"," 347.1"," 365.7"," 377.2"," 400.8"," 413.8"," 442.4"," 473.1"," 487.4"," 505.5"," 507"," 536.3"," 514.3"," 439.8"," 451.8"," 445.7"," 441.5"," 440.5"," 429.1"," 422"," 364.5"," 348.4"," 381.4"," 362.1"," 342.6"," 374.9"," 394.3"," 417.3"," 435.9"," 441.8"," 458.5"," 465.7"," 469.6"," 493.5"," 510"," 515.7"," 503.2"," 481.7"," 488.1"," 442.9"," 453.3"," 439.8"," 443.5"," 409.9"," 407.2"," 416.2"," 416.5"," 392.2"," 427.2"," 438.3"," 454.4"," 470.3"," 486.4"," 477.2"," 486.5"," 499"," 529.7"," 537.1"," 527.4"," 535.4"," 544.3"," 547.8"
